comment_number,describe,introduce,movie_name,serial_number,start
1227104人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016/美国/喜剧动画冒险,疯狂动物城,19,9.2
841668人评价,香港电影史上永不过时的杰作。,2002/中国香港/剧情犯罪悬疑,无间道,20,9.2
879658人评价,人人心中都有个龙猫，童年就永远不会消失。,1988/日本/动画奇幻冒险,龙猫,21,9.2
643787人评价,千万不要记恨你的对手，这样会让你失去理智。,1972/美国/剧情犯罪,教父,22,9.3
1050248人评价,平民励志片。 ,2006/美国/剧情传记家庭,当幸福来敲门,23,9.1
1215449人评价,真正的幸福是来自内心深处。,2010/美国/剧情喜剧爱情,怦然心动,24,9.1
686231人评价,满满温情的高雅喜剧。,2011/法国/剧情喜剧,触不可及,25,9.2
707056人评价,无尽的黑暗。,2008/美国英国/剧情动作科幻犯罪惊悚,蝙蝠侠：黑暗骑士,26,9.2
267541人评价,比利·怀德满分作品。,1957/美国/剧情犯罪悬疑,控方证人,27,9.6
546439人评价,张艺谋最好的电影。,1994/中国大陆中国香港/剧情历史家庭,活着,28,9.2
469298人评价,Tomorrow is another day.,1939/美国/剧情历史爱情战争,乱世佳人,29,9.3
1021256人评价,死亡不是真的逝去，遗忘才是永恒的消亡。,2017/美国/喜剧动画奇幻音乐,寻梦环游记,30,9.1
485013人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,1987/英国意大利中国大陆法国/剧情传记历史,末代皇帝,31,9.2
1068935人评价,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,2016/印度/剧情传记运动家庭,摔跤吧！爸爸,32,9.0
997789人评价,瑰丽壮观、无人能及的冒险之旅。,2012/美国中国台湾英国加拿大/剧情奇幻冒险,少年派的奇幻漂流,33,9.1
517005人评价,史诗的终章。,2003/美国新西兰/剧情动作奇幻冒险,指环王3：王者无敌,34,9.2
925579人评价,最后那些最无聊的事情，才是最值得怀念的。 ,2009/美国/剧情喜剧动画冒险,飞屋环游记,35,9.0
609506人评价,凝视卑弱生命，用电影改变命运。,2018/黎巴嫩法国美国/剧情,何以为家,36,9.1
311772人评价,1957年的理想主义。 ,1957/美国/剧情,十二怒汉,37,9.4
427972人评价,对敌人的仁慈，就是对自己残忍。,2000/中国大陆/剧情历史战争,鬼子来了,38,9.2
587663人评价,对天空的追逐，永不停止。 ,1986/日本/动画奇幻冒险,天空之城,39,9.1
829822人评价,旷古烁今。,1995/中国香港中国大陆/喜剧爱情奇幻古装,大话西游之月光宝盒,40,9.0
672736人评价,带着心爱的人在天空飞翔。,2004/日本/动画奇幻冒险,哈尔的移动城堡,41,9.0
420683人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,2013/韩国/剧情,素媛,42,9.2
465554人评价,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,1988/意大利法国/剧情爱情,天堂电影院,43,9.2
678484人评价,爱情哪怕只有一天。,1953/美国/喜剧剧情爱情,罗马假日,44,9.0
588593人评价,史上最美的探戈。,1992/美国/剧情,闻香识女人,45,9.1
419807人评价,电影的现实意义大过电影本身。,2013/韩国/剧情,辩护人,46,9.2
615904人评价,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,1999/美国德国/剧情动作悬疑惊悚,搏击俱乐部,47,9.0
624737人评价,童话世界的开端。,2001/美国英国/奇幻冒险,哈利·波特与魔法石,48,9.0
1439613人评价,对我们国家而言，这样的电影多一部是一部。,2018/中国大陆/剧情喜剧,我不是药神,49,9.0
482702人评价,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,1989/美国/剧情,死亡诗社,50,9.1
354988人评价,优雅的孤独。,1974/美国/剧情犯罪,教父2,51,9.2
397421人评价,别样人生。,2006/德国/剧情悬疑,窃听风暴,52,9.1
547311人评价,动物版《哈姆雷特》。,1994/美国/动画冒险歌舞,狮子王,53,9.0
473578人评价,承前启后的史诗篇章。,2002/美国新西兰/剧情动作奇幻冒险,指环王2：双塔奇兵,54,9.1
257588人评价,经典之作，历久弥新。,1961(中国大陆)/1964(中国大陆)/1978(中国大陆)/2004(中国大陆)/中国大陆/动画奇幻,大闹天宫,55,9.3
532594人评价,传说的开始。,2001/新西兰美国/剧情动作奇幻冒险,指环王1：魔戒再现,56,9.0
422090人评价,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,1998/英国/剧情喜剧犯罪,两杆大烟枪,57,9.1
523527人评价,爱是一切逻辑和原由。,2001/美国/传记剧情,美丽心灵,58,9.0
388235人评价,人生不能像做菜，把所有的料都准备好了才下锅。,1994/中国台湾美国/剧情家庭,饮食男女,59,9.1
420663人评价,自由万岁。,1975/美国/剧情,飞越疯人院,60,9.1
536748人评价,骗子大师和执著警探的你追我跑故事。 ,2002/美国加拿大/传记犯罪剧情,猫鼠游戏,61,9.0
533030人评价,视觉革命。,1999/美国澳大利亚/动作科幻,黑客帝国,62,9.0
738637人评价,一张面具背后的理想与革命。,2005/美国英国德国/剧情动作科幻惊悚,V字仇杀队,63,8.9
350852人评价,音乐能化解仇恨。,2002/法国德国英国波兰/剧情传记历史战争音乐,钢琴家,64,9.2
684326人评价,在时间之河里感受溺水之苦。,2008/美国/剧情爱情奇幻,本杰明·巴顿奇事,65,8.9
795049人评价,你以为你以为的就是你以为的。,2016/西班牙/剧情犯罪悬疑惊悚,看不见的客人,66,8.8
1111444人评价,你给我翻译翻译，神马叫做TMD的惊喜。,2010/中国大陆中国香港/剧情喜剧动作西部,让子弹飞,67,8.8
670069人评价,美丽无罪。,2000/意大利美国/剧情战争情色,西西里的美丽传说,68,8.9
278244人评价,海豚的微笑，是世界上最高明的伪装。,2009/美国/纪录片,海豚湾,69,9.3
272543人评价,奔跑的孩子是天使。,1997/伊朗/剧情儿童家庭,小鞋子,70,9.2
442119人评价,美利坚精神输出大片No1.,1998/美国/剧情历史战争,拯救大兵瑞恩,71,9.0
629411人评价,暗恋的极致。,1995/日本/剧情爱情,情书,72,8.9
409196人评价,用音乐化解仇恨，让歌声串起美好。,1965/美国/剧情传记爱情歌舞,音乐之声,73,9.0
335137人评价,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,2008/英国美国/剧情战争,穿条纹睡衣的男孩,74,9.1
291061人评价,往事如烟，无处祭奠。,1984/美国意大利/犯罪剧情,美国往事,75,9.2
584724人评价,孪生蝙蝠侠大战克隆金刚狼。,2006/美国英国/剧情悬疑惊悚,致命魔术,76,8.9
1019701人评价,去除成见，需要勇气。,2018/美国/剧情喜剧传记,绿皮书,77,8.9
682112人评价,警察抓小偷，老鼠玩死猫。,1995/美国/剧情犯罪悬疑惊悚,七宗罪,78,8.8
581390人评价,故事的高级讲法。,1994/美国/剧情喜剧犯罪,低俗小说,79,8.8
578556人评价,安东尼·霍普金斯的顶级表演。,1991/美国/剧情犯罪惊悚,沉默的羔羊,80,8.8
238140人评价,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,2015/德国瑞士南非/剧情冒险家庭,海蒂和爷爷,81,9.2
643683人评价,人的命运被自己瞬间的抉择改变。,2004/美国加拿大/剧情悬疑科幻惊悚,蝴蝶效应,82,8.8
520499人评价,以戏谑来戏谑戏谑。,2006/日本/剧情歌舞,被嫌弃的松子的一生,83,8.9
432825人评价,爱情纠缠，男女一致。,1997/中国香港日本韩国/剧情爱情同性,春光乍泄,84,8.9
641737人评价,昔日翩翩少年，今日大腹便便。,2010/美国/剧情悬疑惊悚,禁闭岛,85,8.8
480097人评价,人生中应该拥有这样的一段豁然开朗。,1997/美国/剧情,心灵捕手,86,8.9
607520人评价,小清新的故事里注入了大历史的情怀。,2014/美国德国英国/剧情喜剧冒险,布达佩斯大饭店,87,8.8
923377人评价,绝对意义上的美轮美奂。,2009/美国英国/动作科幻冒险,阿凡达,88,8.7
781174人评价,浪漫忧郁的成人童话。,1990/美国/剧情奇幻爱情,剪刀手爱德华,89,8.7
434614人评价,史诗大片的典范。,1995/美国/动作传记剧情历史战争,勇敢的心,90,8.9
189369人评价,大时代中的人生，小人物的悲喜。,1936/美国/剧情喜剧爱情,摩登时代,91,9.3
748965人评价,法式小清新。 ,2001/法国德国/喜剧爱情,天使爱美丽,92,8.7
